Perturbation,electra-base-de-squad2,bert-multi-english-german-squad2,xlm-roberta-base-squad2,gelectra-base-germanquad
NONE,55.31,52.45,48.63,57.03
ICC,7.35,3.36,5.67,2.9
ICQ,55.13,3.36,27.04,7.85
TLC,10.75,10.07,10.07,8.58
TLQ,55.31,48.82,48.32,53.58
TUC,7.99,3.77,6.4,3.58
TUQ,55.13,4.04,34.62,10.75
TTC,34.17,27.63,28.77,25.5
TTQ,55.31,47.82,48.23,53.31
IPC,55.31,52.31,50.41,57.21
IPQ,51.77,49.95,48.37,54.95
DPC,52.81,50.27,47.37,54.63
DPQ,54.35,51.94,47.42,54.9
DCVC,55.04,52.13,49.86,57.08
DCVQ,52.22,49.59,47.6,54.63
DCRC,53.69,51.14,49.09,54.97
DCRQ,50.43,50.16,47.75,53.61
ICVC,54.9,52.18,50.14,56.99
ICVQ,52.09,49.36,47.41,54.76
ICRC,53.53,51.39,48.88,56.03
ICRQ,50.64,50.05,46.68,54.54
RepeatCVC,54.95,52,49.64,57.03
RepeatCVQ,50.18,50.09,48.41,55.08
RepeatCRC,53.19,50.73,49.18,54.79
RepeatCRQ,50.84,50.52,46.98,54.43
ReplaceCVC,55.08,51.91,50.09,56.9
ReplaceCVQ,51.54,49.23,48.14,54.67
ReplaceCRC,53.39,51.43,49.16,55.62
ReplaceCRQ,51.23,49.41,46.78,54.04
SCVC,55.08,51.86,49.73,56.99
SCVQ,52.27,49.36,48.28,54.99
SCRC,53.6,50.96,49.54,55.01
SCRQ,50.7,49.84,47.16,54.25
RUC,43.15,42.65,41.42,44.15
RUQ,53.36,50.41,48.14,55.94
typo_C,16.11,16.83,16.42,16.2
typo_Q,32.85,36.03,35.57,36.12
